option_type,delta,gamma,theta,vega,iv,return_exp
PUT,-0.95608,0.00147,-0.02766,0.13835,0.41729,-0.6569057908383751
PUT,-0.90721,0.00033,-0.17508,0.26059,0.47992,0.0347152619589979
PUT,-0.90505,0.00125,-0.13966,0.28302,0.38451,-0.1436739918924682
PUT,-1.0,0.0,0.0,0.0,,-0.0519901719901719
PUT,-1.0,0.0,0.0,0.0,,10.0
PUT,-1.0,0.0,0.0,0.0,,0.0773321056569028
PUT,-1.0,0.0,0.0,5.54156,,-0.2025927372120266
PUT,-0.91048,0.00073,-0.18465,0.22378,0.47482,-0.3750943396226418
PUT,-0.91747,0.00096,-0.13603,0.12374,0.47862,-0.6151108335935062
PUT,-1.0,0.0,0.0,0.0,,-0.400778715120052
PUT,-1.0,0.0,0.0,1.53709,0.00045,-0.2278247790938147
PUT,-0.9043,0.00055,-0.23904,0.36408,0.47105,2.8141610570929947
PUT,-0.96073,0.00072,-0.29619,0.09494,1.09024,-0.415972397542708
PUT,-0.82707,0.0024,-0.10753,0.45155,0.45304,-1.0
PUT,-0.88405,0.00013,-0.42581,0.20701,0.89335,-0.1514725872224739
PUT,-0.88181,0.00197,-0.18526,0.31166,0.43757,-1.0
PUT,-0.87,0.00072,-0.27938,0.39048,0.64153,0.3258537677751651
PUT,-0.81941,0.00971,-0.13156,0.12998,0.50005,-0.6346921075455334
PUT,-0.86187,0.00973,-0.1331,0.05627,0.73346,0.3621112158341186
PUT,-0.86906,7e-05,-0.10009,0.14167,0.89141,-0.4087348353552858
PUT,-0.83137,0.00366,-0.17633,0.2067,0.6513,-0.214533106960951
PUT,-0.81994,0.0049,-0.04311,0.31268,0.35922,-0.58342151675485
PUT,-0.85085,0.00029,-0.26944,0.41208,0.75437,0.0703722250041728
PUT,-0.87913,0.00208,-0.2023,0.38571,0.4924,0.1218597945575779
PUT,-0.81919,0.01351,-0.91636,0.12544,0.39821,-1.0
PUT,-0.89971,0.00048,-0.09535,0.09799,0.60063,0.2220389310458592
PUT,-0.85787,0.00429,-0.08181,0.26773,0.35454,0.23447983014862
PUT,-0.86282,0.00041,-0.11016,0.0501,1.67104,0.0423138725227639
