option_type,quarter,DTE_bin,log_m_bin,n,mean_return
CALL,2021-Q1,8-14,≤-0.6,616,-0.00837280336451423
CALL,2021-Q1,>365,-0.1 – 0.1,458,-1.0
CALL,2021-Q1,>365,-0.3 – -0.1,605,-1.0
CALL,2021-Q1,>365,-0.6 – -0.3,746,-1.0
CALL,2021-Q1,>365,0.1 – 0.3,471,-1.0
CALL,2021-Q1,>365,0.3 – 0.6,591,-1.0
CALL,2021-Q1,>365,> 0.6,3,-1.0
CALL,2021-Q1,>365,≤-0.6,2124,-0.9662198068436016
CALL,2021-Q2,0-7,-0.1 – 0.1,2812,0.22251024418480106
CALL,2021-Q2,0-7,-0.3 – -0.1,2564,0.11300631763131837
CALL,2021-Q2,0-7,-0.6 – -0.3,1933,0.057031170409050244
CALL,2021-Q2,0-7,0.1 – 0.3,1532,-1.0
CALL,2021-Q2,0-7,0.3 – 0.6,582,-1.0
CALL,2021-Q2,0-7,≤-0.6,1533,0.035122532246986485
CALL,2021-Q2,121-365,-0.1 – 0.1,2872,-1.0
CALL,2021-Q2,121-365,-0.3 – -0.1,2545,-1.0
CALL,2021-Q2,121-365,-0.6 – -0.3,2455,-1.0
CALL,2021-Q2,121-365,0.1 – 0.3,2586,-1.0
CALL,2021-Q2,121-365,0.3 – 0.6,3625,-1.0
CALL,2021-Q2,121-365,> 0.6,1079,-1.0
CALL,2021-Q2,121-365,≤-0.6,3696,-0.9257343660798175
CALL,2021-Q2,15-30,-0.1 – 0.1,5548,1.7916320016988598
CALL,2021-Q2,15-30,-0.3 – -0.1,4256,0.3754228936722239
CALL,2021-Q2,15-30,-0.6 – -0.3,3339,0.20593731733324472
CALL,2021-Q2,15-30,0.1 – 0.3,3002,0.77296355339921
CALL,2021-Q2,15-30,0.3 – 0.6,1425,-1.0
CALL,2021-Q2,15-30,≤-0.6,2137,0.13576264959246154
CALL,2021-Q2,31-60,-0.1 – 0.1,5590,1.6173151636733438
CALL,2021-Q2,31-60,-0.3 – -0.1,3328,0.5283368600080105
CALL,2021-Q2,31-60,-0.6 – -0.3,2856,0.29028706852814595
CALL,2021-Q2,31-60,0.1 – 0.3,3339,1.5259877224254317
CALL,2021-Q2,31-60,0.3 – 0.6,1720,-0.9345682536874187
CALL,2021-Q2,31-60,≤-0.6,2054,0.20871766555034219
CALL,2021-Q2,61-120,-0.1 – 0.1,1759,0.5147116626038931
CALL,2021-Q2,61-120,-0.3 – -0.1,1840,-0.2666987304314963
CALL,2021-Q2,61-120,-0.6 – -0.3,1883,-0.39537262059144807
CALL,2021-Q2,61-120,0.1 – 0.3,1849,0.3285476904843061
CALL,2021-Q2,61-120,0.3 – 0.6,1007,-1.0
CALL,2021-Q2,61-120,≤-0.6,1551,-0.3868890693035682
CALL,2021-Q2,8-14,-0.1 – 0.1,2403,1.166804179942689
CALL,2021-Q2,8-14,-0.3 – -0.1,2075,0.2824199460502136
CALL,2021-Q2,8-14,-0.6 – -0.3,1526,0.15244092899537445
CALL,2021-Q2,8-14,0.1 – 0.3,1279,-0.6518047913510232
CALL,2021-Q2,8-14,0.3 – 0.6,581,-1.0
CALL,2021-Q2,8-14,≤-0.6,1086,0.09188784188853888
CALL,2021-Q2,>365,-0.1 – 0.1,402,-1.0
CALL,2021-Q2,>365,-0.3 – -0.1,455,-1.0
